2022-02-01 17:13:17,655 [main] INFO  com.samsan.xcape.XcapeApplication(logStarting:55) - Starting XcapeApplication using Java 1.8.0_312 on earth.local with PID 5574 (/Users/kojoo112/Desktop/git/XCAPE_thymeleaf/Xcape/build/classes/java/main started by kojoo112 in /Users/kojoo112/Desktop/git/XCAPE_thymeleaf)
2022-02-01 17:13:17,687 [main] INFO  com.samsan.xcape.XcapeApplication(logStartupProfileInfo:659) - No active profile set, falling back to default profiles: default
2022-02-01 17:13:19,041 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer(initialize:108) - Tomcat initialized with port(s): 8080 (http)
2022-02-01 17:13:19,128 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext(prepareWebApplicationContext:290) - Root WebApplicationContext: initialization completed in 1243 ms
2022-02-01 17:13:19,708 [main] INFO  org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping(<init>:57) - Adding welcome page template: index
2022-02-01 17:13:19,903 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer(start:220) - Tomcat started on port(s): 8080 (http) with context path ''
2022-02-01 17:13:19,914 [main] INFO  com.samsan.xcape.XcapeApplication(logStarted:61) - Started XcapeApplication in 2.751 seconds (JVM running for 4.105)
2022-02-01 17:13:21,652 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet(initServletBean:525) - Initializing Servlet 'dispatcherServlet'
2022-02-01 17:13:21,653 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet(initServletBean:547) - Completed initialization in 1 ms
